location,day,so2,co,o3,no2,pm10,pm25
복정동,2025-11-01,.002,.4,.029,.009,19,9
복정동,2025-11-03,.001,.4,.013,.017,19,9
복정동,2025-11-04,.002,.5,.011,.031,28,19
복정동,2025-11-05,.002,.5,.009,.031,35,21
복정동,2025-11-06,.002,.6,.013,.03,44,32
복정동,2025-11-07,.001,.5,.019,.022,39,30
복정동,2025-11-08,.002,.5,.015,.021,26,17
복정동,2025-11-09,.002,.4,.025,.012,38,14
복정동,2025-11-10,.002,.3,.022,.011,19,4
복정동,2025-11-11,.002,.4,.015,.022,23,9
복정동,2025-11-12,.002,.5,.015,.027,29,16
복정동,2025-11-13,.002,.5,.017,.026,38,29
복정동,2025-11-14,.002,.4,.016,.021,29,13
복정동,2025-11-15,.002,.6,.011,.029,28,16
복정동,2025-11-16,.002,.5,.024,.02,33,20
복정동,2025-11-17,.002,.3,.021,.007,37,9
복정동,2025-11-18,.002,.4,.016,.011,24,8
복정동,2025-11-19,.002,.5,.013,.022,29,13
복정동,2025-11-20,.001,.5,.018,.02,35,20
복정동,2025-11-21,.002,.4,.02,.016,18,6
복정동,2025-11-22,.002,.5,.021,.021,32,19
복정동,2025-11-23,.002,.4,.034,.013,35,29
복정동,2025-11-24,.002,.5,.04,.017,69,55
복정동,2025-11-25,.002,.5,.021,.018,78,64
복정동,2025-11-26,.001,.4,.018,.022,41,32
복정동,2025-11-27,.001,.4,.017,.016,29,20
복정동,2025-11-28,.001,.4,.015,.02,19,10
복정동,2025-11-29,.002,.5,.011,.025,24,14
복정동,2025-11-30,.002,.4,.034,.012,78,23
복정동,2025-12-01,.002,.4,.022,.014,46,16
복정동,2025-12-02,.002,.3,.023,.009,13,4
복정동,2025-12-03,.002,.3,.022,.007,15,5
복정동,2025-12-04,.003,.4,.016,.013,19,10
복정동,2025-12-05,.002,.5,.015,.018,22,11
복정동,2025-12-06,.001,.4,.013,.02,21,14
복정동,2025-12-07,.003,.6,.027,.017,74,52
복정동,2025-12-08,.002,.4,.018,.015,29,14
복정동,2025-12-09,.002,.4,.012,.024,18,9
복정동,2025-12-10,.002,.5,.008,.03,34,22
복정동,2025-12-11,.002,.5,.014,.023,31,28
복정동,2025-12-12,.001,.4,.015,.017,16,8
복정동,2025-12-13,.002,.4,.015,.016,8,4
복정동,2025-12-14,.002,.5,.02,.012,20,14
복정동,2025-12-15,.002,.5,.008,.026,26,25
복정동,2025-12-16,.002,.5,.004,.027,32,32
복정동,2025-12-17,.002,.5,.014,.021,53,39
복정동,2025-12-18,.002,.5,.009,.031,27,19
복정동,2025-12-19,.002,.6,.004,.033,33,30
복정동,2025-12-20,.002,.6,.01,.025,42,34
복정동,2025-12-21,.002,.4,.02,.009,22,6
복정동,2025-12-22,.002,.5,.008,.025,28,12
복정동,2025-12-23,.002,.5,.004,.03,20,12
복정동,2025-12-24,.001,.5,.012,.02,19,16
복정동,2025-12-25,.003,.4,.022,.009,23,12
복정동,2025-12-26,.002,.4,.016,.012,16,6
복정동,2025-12-27,.002,.4,.011,.02,23,16
복정동,2025-12-28,.002,.4,.015,.014,33,31
복정동,2025-12-29,.002,.5,.024,.016,52,44
복정동,2025-12-30,.002,.4,.02,.015,16,7
복정동,2025-12-31,.002,.4,.02,.009,17,5
