,title,description,title_label,description_label
0,  배스킨라빈스    활용한 차세대 혁신매장  워크샵  오픈,특히  오픈 가 개발한  챗 를 통해 신제품 아이디어를 구상하고 생성형  로 제품 비주얼까지 그려내는 차세대 상품 개발 모델  배스킨라빈스         시스템 을 최초로 시범 운영한다  워크샵  ,0,0
1,언론과  의 상생 윈윈 지혜 필요하다, 챗  개발사 오픈 와 마이크로소프트 가 대상이다  생성형 를 훈련하는 과정에서 자사 저작물을 무단 사용했다는 주장이다  미국의 언론사가   기업을 상대로 저작권 소송을 제기한 건 처음이다  대규모 언어 모델  ,1,1
2,배움으로 삶을 풍요롭게 가꾸는 부여도서관 평생교육 수강생 모집,유아 초등학생 대상  자녀와 함께하는 말랑말랑 그림책놀이  책이랑 놀아요  예술융합상상놀이터  세계문화유산 왕릉에서 보물 찾기  성인 대상  챗 와 캔바로 나도 디자이너  캘리그라피와 플러스펜  ,1,0
3,충북도    도정 실현 첫 걸음  도공  운영,도공에 참여하는 공무원들은  챗  등을 활용해 문서나 이미지  영상물 등을 제작하는 것부터 시작해서 생성형  를 활용한 챗봇 제작 등 대도민 서비스에 적용하기 위한 심화학습을 이어나갈 예정이다  이밖에 도민  ,1,0
4,육군   디지털 대전환 선포 데이터 중심으로  정보공유 협업체계  구축,기반 국방데이터 활용 활성화 방안  하정우 디지털플랫폼정부위원회 인공지능 데이터 분과위원장의  챗   년  초거대   전쟁 시대의 국방 을 주제로 한 강연이 진행됐다  박안수 총장은  디지털 대전환은  첨단  ,1,0
5, 주식마감기사  초전도체 기대감에 신성델타테크 상한가  비상교육    솔브 , 챗  개발사 오픈 가 공개한 인공지능 영상제작 프로그램  소라 는 텍스트만으로 동영상을 생성할 수 있고 기존의 이미지를 동영상으로 만들 수 있다  또한 기존 프로그램과 달리  어색함이 거의 없고  ,0,0
6,머스크  오픈 에 또 견제구  비윤리 불법적으로 보였다 ,  일론 머스크 테슬라 최고경영자 가 생성형 인공지능   챗  개발사인 오픈 에 또다시 견제구를  머스크는 앞서 같은 해  월   개발 계획을 발표하면서  챗 가 정치적으로 타당하도록  훈련돼  진실하지 않은  ,1,0
7,머스크도  인류 끝났다 영상도 만드는   삼성 하이닉스 웃는다,   인류는 끝났다   일 현지시간  일론 머스크 테슬라 최고경영자 가  챗  개발사 오픈 의   년 전 대화형   열풍을 일으켰던  챗 의  의 경우 학습과 추론을 위해  만여 개의  가 필요했다  영상  ,0,0
8,    여행 트렌드   잘파세대 여행 설명서,생성형       글로벌 여행객  명 중  명은 여행 계획을 세울 때 생성형  를 매우 유용하게 활용했다고 밝혔으며 한국인 여행객의  가 다음 여행을 계획할 때  챗  활용에 관심을 표했다  한국 여행객들은 시간  ,1,1
9,   챗  교육 챌린지 개최,광주과학기술원 은   활용 교육의 저변 확대 및 실무역량 강화를 위해   및  챗  교육 챌린지 를 개최한다고  일 밝혔다    및  챗  교육 챌린지 는  월  일 오후  시 디지털역량연구소 김철수  ,0,0
10, 반도체  우리도 만든다 고급 인재 쓸어담는  전자, 챗 를 개발한 오픈 의 샘 올트먼 최고경영자 는 여기에 한발 더 나아가 칩 설계부터 생산까지 아우르는 독자적인 반도체 생태계 구축 계획을 내놨다   조달러를 투자받아 세계 각지에 공장을 짓는 방안을 추진  ,1,0
11,현장 안전부터 미래 신사업까지    기술  전면 활용  스마트 건설시대 여는 ,롯데건설이 개발한   플랫폼은 대화형 인공지능인  챗  와 같은 강력한 거대 언어 모델  기술에 기반을 둔다  이 플랫폼은 건설현장의 복잡하고 다양한  시방서 공사 순서를 적은 문서 에 대한 질문에  ,0,0
12, 증권  금융권 최초  스토어에  증권   출시, 신문 뉴스  이미지 제공    증권  증권 사장 김성현 이홍구 은 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  ,1,0
13,다시 샌프란시스코    붐에  테크 본사  재집결, 챗 의 오픈 의 경우 최근 샌프란시스코 미션 베이 인근에서 두 개의 건물을 새로 임대해 샌프란시스코내의 사무실 공간을 늘리고 있다  샌프란시스코와 실리콘밸리를 대표하는  들도 이곳에서 체류하는 시간이  ,1,1
14,호남대  인공지능 큐브   프로그램  추진 위한 기획회의 개최, 챗 의 활용방법  등의 내용으로 전체 강의를 진행할 예정이다  이어 전공 학과별 가제 로  하늘을 날아볼까요  드론으로  창의력을 발휘하다  드론 기술   혁신을 꿈꾸는  챗  타고 메이킹 코딩 여행   창의적  ,0,1
15, 로 기업 투자정보 추출해 뉴스화 에프앤가이드  특허 취득,에프앤가이드 관계자는  챗  등 거대언어모델이 빠르게 발전하고 있으나  금융정보 영역에서는 아직 실험적 콘텐츠만 난무하고 있다  이번 특허와 관련된 기술을 바탕으로 투자자들이 정보를 모으고 분석하는 시간을  ,0,0
16,배스킨이 만든  와사비맛 아이스크림 국내 유일 여기서만 맛본다는데,조성희 비알코리아 크리에이티브 디렉팅팀 상무는  배스킨라빈스의 차세대 연구개발  기술력을 보여주는 공간 이라며  연구소의 소비자 데이터와 노하우를 바탕으로  챗 를 이용해 상품 개발에 적극 이용하는  ,0,0
