,title,title_label,description,description_label
0,  배스킨라빈스    활용한 차세대 혁신매장  워크샵  오픈,0,특히  오픈 가 개발한  챗 를 통해 신제품 아이디어를 구상하고 생성형  로 제품 비주얼까지 그려내는 차세대 상품 개발 모델  배스킨라빈스         시스템 을 최초로 시범 운영한다  워크샵  ,0
1,배움으로 삶을 풍요롭게 가꾸는 부여도서관 평생교육 수강생 모집,1,유아 초등학생 대상  자녀와 함께하는 말랑말랑 그림책놀이  책이랑 놀아요  예술융합상상놀이터  세계문화유산 왕릉에서 보물 찾기  성인 대상  챗 와 캔바로 나도 디자이너  캘리그라피와 플러스펜  ,0
2,충북도    도정 실현 첫 걸음  도공  운영,1,도공에 참여하는 공무원들은  챗  등을 활용해 문서나 이미지  영상물 등을 제작하는 것부터 시작해서 생성형  를 활용한 챗봇 제작 등 대도민 서비스에 적용하기 위한 심화학습을 이어나갈 예정이다  이밖에 도민  ,0
3,육군   디지털 대전환 선포 데이터 중심으로  정보공유 협업체계  구축,1,기반 국방데이터 활용 활성화 방안  하정우 디지털플랫폼정부위원회 인공지능 데이터 분과위원장의  챗   년  초거대   전쟁 시대의 국방 을 주제로 한 강연이 진행됐다  박안수 총장은  디지털 대전환은  첨단  ,0
4, 주식마감기사  초전도체 기대감에 신성델타테크 상한가  비상교육    솔브 ,0, 챗  개발사 오픈 가 공개한 인공지능 영상제작 프로그램  소라 는 텍스트만으로 동영상을 생성할 수 있고 기존의 이미지를 동영상으로 만들 수 있다  또한 기존 프로그램과 달리  어색함이 거의 없고  ,0
5,머스크  오픈 에 또 견제구  비윤리 불법적으로 보였다 ,1,  일론 머스크 테슬라 최고경영자 가 생성형 인공지능   챗  개발사인 오픈 에 또다시 견제구를  머스크는 앞서 같은 해  월   개발 계획을 발표하면서  챗 가 정치적으로 타당하도록  훈련돼  진실하지 않은  ,0
6,머스크도  인류 끝났다 영상도 만드는   삼성 하이닉스 웃는다,0,   인류는 끝났다   일 현지시간  일론 머스크 테슬라 최고경영자 가  챗  개발사 오픈 의   년 전 대화형   열풍을 일으켰던  챗 의  의 경우 학습과 추론을 위해  만여 개의  가 필요했다  영상  ,0
7,   챗  교육 챌린지 개최,0,광주과학기술원 은   활용 교육의 저변 확대 및 실무역량 강화를 위해   및  챗  교육 챌린지 를 개최한다고  일 밝혔다    및  챗  교육 챌린지 는  월  일 오후  시 디지털역량연구소 김철수  ,0
8, 반도체  우리도 만든다 고급 인재 쓸어담는  전자,1, 챗 를 개발한 오픈 의 샘 올트먼 최고경영자 는 여기에 한발 더 나아가 칩 설계부터 생산까지 아우르는 독자적인 반도체 생태계 구축 계획을 내놨다   조달러를 투자받아 세계 각지에 공장을 짓는 방안을 추진  ,0
9,현장 안전부터 미래 신사업까지    기술  전면 활용  스마트 건설시대 여는 ,0,롯데건설이 개발한   플랫폼은 대화형 인공지능인  챗  와 같은 강력한 거대 언어 모델  기술에 기반을 둔다  이 플랫폼은 건설현장의 복잡하고 다양한  시방서 공사 순서를 적은 문서 에 대한 질문에  ,0
