,title,title_label,description,description_label
0,언론과  의 상생 윈윈 지혜 필요하다,1, 챗  개발사 오픈 와 마이크로소프트 가 대상이다  생성형 를 훈련하는 과정에서 자사 저작물을 무단 사용했다는 주장이다  미국의 언론사가   기업을 상대로 저작권 소송을 제기한 건 처음이다  대규모 언어 모델  ,1
1,    여행 트렌드   잘파세대 여행 설명서,1,생성형       글로벌 여행객  명 중  명은 여행 계획을 세울 때 생성형  를 매우 유용하게 활용했다고 밝혔으며 한국인 여행객의  가 다음 여행을 계획할 때  챗  활용에 관심을 표했다  한국 여행객들은 시간  ,1
2,다시 샌프란시스코    붐에  테크 본사  재집결,1, 챗 의 오픈 의 경우 최근 샌프란시스코 미션 베이 인근에서 두 개의 건물을 새로 임대해 샌프란시스코내의 사무실 공간을 늘리고 있다  샌프란시스코와 실리콘밸리를 대표하는  들도 이곳에서 체류하는 시간이  ,1
3,호남대  인공지능 큐브   프로그램  추진 위한 기획회의 개최,0, 챗 의 활용방법  등의 내용으로 전체 강의를 진행할 예정이다  이어 전공 학과별 가제 로  하늘을 날아볼까요  드론으로  창의력을 발휘하다  드론 기술   혁신을 꿈꾸는  챗  타고 메이킹 코딩 여행   창의적  ,1
4, 인터뷰   퇴직해도  챗  활용해 맞춤법 검사기 성능 높일 터 ,0,최근 권 교수는  챗  등 생성형  를 활용해 검사기 성능을 높이기 위해 연구하고 있다  오류를 고치는 부분에서는  가 검사기보다 낫다는 분석에서다  그는  의 작동 방식을 검사기 규칙으로 만들면서 영감을  ,1
5,디지털 시대에 무당과 역술인이 늘어나는 이유,0,우리 모두 처음 겪는 상황이기 때문이다  김홍열 연세대 졸업  사회학 박사  미래학회 편집위원  저서  축제의 사회사   디지털 시대의 공간과 권력  공저  뉴사피엔스  챗   시그널 코리아  ,1
6, 증권  국내 금융권 최초  스토어에  증권   선봬,1,사진 증권  증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는  ,1
7, 김익현의 미디어 읽기  도 넘은  이강인 기사 와  챗  시대 저널리즘,1, 챗  같은 생성형 인공지능 이 대중화되면 기자들의 일 중 상당 부분이 사라질 것이란 전망이 적지 않다  심하게는  기자의 미래도 불투명하다는 경고를 하는 사람도 있다  물론 나는  챗 가 기자를 완전히 대체할  ,1
8, 증권  국내 금융권 첫  스토어에  챗봇  증권   출시,1, 증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 처음으로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는 온라인  ,1
9, 데일리픽  콘솔 게임업계  이중고 테슬라  사이버트럭 녹 아냐 ,0,하지만 일부 전문가들은  챗 와 같은   기반 도구를 사용하면 더 많은 보안 문제가 발생할 수 있다고 경고했다    엔비디아   공개 세계에서 가장 빠른 슈퍼컴퓨터 중 하나  엔비디아 가 데이터 센터 규모의  ,1
10,  금융권 최초로  스토어에  증권   출시,1, 증권은 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는 인공지능 챗봇을 자유롭게 거래할 수 있는 온라인  ,1
11, 단상 새로운 문명대변혁  인류혁명 시대를 대비해야 한다,1,또  챗  인공지능 의 등장으로 그동안 문 앞에서 머뭇거리고 있던 새로운 문명대변혁의 미래에 인류는 등 떠밀리듯 들어와 버렸다   챗   와 기후변화의 본격화로 세상의 변화는 급가속하고 있다  인류는 농업혁명  ,1
12, 미래읽기  비전 프로와 공간컴퓨팅 그리고 디지털 공간경제 시대,1,전 세계를   열풍으로 몰아넣고 있는  챗 가 비전 프로에 탑재되었다   챗  개발사인 오픈 가 비전 프로용  챗  앱을 만든 것이다  이제  챗 는 다양한 아바타의 모습으로 디지털 공간에서 우리와 함께 할 것이다  ,1
13,  국내 금융권 최초로  스토어에  증권   출시,1, 증권은 지난  일 챗봇    거래 플랫폼  스토어 에 국내 금융권 최초로  챗  기술을 기반으로 한  증권  를 출시했다고  일 밝혔다   스토어 는  챗봇을 자유롭게 거래할 수 있는 온라인  ,1
14,포은중앙도서관 메이커 웹툰 프로그램 등 수강생 모집,1,상반기 웹툰 메이커 프로그램은  컷 만화 그리기  처음 만나는 책모티콘  아두이노 블록코딩   챗 와 떠나는 스토리여행 등 남녀노소 다양한 취미생활을 즐길 수 있도록 했다    미디어 라이브러리  나는야 북튜버  ,1
15, 증권  국내 금융권 최초  챗  출시,1,이투데이 박상인 기자    증권은 국내 금융권 최초로  챗 를 기반으로 한  증권  를 출시했다고  일 밝혔다   증권  는  증권 오픈 와 연계해 종목랭킹   증권 추천주  리서치 추천  연금상품 조회  ,1
16,김용경 국힘 대전서구갑 예비후보  질서 있는 세대교체 적임자 자임 ,1,저는 평소 오픈    챗 와 구글   챗봇  제미나이 를 사용해 선거운동을 하고 있습니다  그 답변 가운데 하나는  과거 보수 정당의 이미지를 탈피하고 새로운 변화와 혁신을 보여주는 것이 중요하고 미래지향적인  ,1
17,포은중앙도서관 메이커 웹툰 프로그램 등 수강생 모집,1,이번 상반기 웹툰 메이커 프로그램은  컷만화 그리기   처음 만나는 책모티콘   아두이노 블록코딩   챗 와 떠나는 스토리여행  등 남녀노소 다양한 취미생활을 즐길 수 있도록 했다    미디어 라이브러리  ,1
18,네이버   시대 본격화  검색 커머스 활용 확대,0, 챗  공개 이후  가 미래 먹거리로 떠오르면서  는   업체 입장에서 거부할 수 없는 흐름이 되고 있다  이에 네이버 역시 핵심 사업인 검색과 커머스 부문에  를 결합해 기술 경쟁력과 플랫폼 영향력이라는 두 마리  ,1
